Symbol,Date,Price
ALXO,22-Apr-26,1.7
ALZN,22-Apr-26,1.1
AMAL,22-Apr-26,42.31
AMAT,22-Apr-26,403.48
AMBA,22-Apr-26,61.28
AMBR,22-Apr-26,2.42
AMCI,22-Apr-26,7.1
AMCX,22-Apr-26,8.73
AMD,22-Apr-26,303.46
AMDD,22-Apr-26,5.905
AMDG,22-Apr-26,44.96
AMDL,22-Apr-26,26.56
AMGN,22-Apr-26,345.92
AMID,22-Apr-26,35.1889
AMIX,22-Apr-26,0.3699
AMKR,22-Apr-26,72.25
AMLX,22-Apr-26,17.52
AMOD,22-Apr-26,0.3875
AMODW,22-Apr-26,0.0376
AMPG,22-Apr-26,1.99
AMPGR,22-Apr-26,0.0399
AMPGZ,22-Apr-26,0.061
AMPH,22-Apr-26,20.99
AMPL,22-Apr-26,7.28
AMRN,22-Apr-26,14.5
AMRX,22-Apr-26,12.82
AMSC,22-Apr-26,48.15
AMSF,22-Apr-26,29.96
AMST,22-Apr-26,1.08
AMTX,22-Apr-26,2.74
AMUN,22-Apr-26,26.07
AMUU,22-Apr-26,92.78
AMWD,22-Apr-26,44.18
AMYY,22-Apr-26,16.21
AMZD,22-Apr-26,8.93
AMZN,22-Apr-26,255.36
AMZU,22-Apr-26,39.83
AMZZ,22-Apr-26,36.48
ANAB,22-Apr-26,53.55
ANDE,22-Apr-26,75.9
ANEL,22-Apr-26,26.0709
ANGH,22-Apr-26,3.7539
ANGHW,22-Apr-26,0.0095
ANGI,22-Apr-26,7.48
ANGL,22-Apr-26,29.33
ANGO,22-Apr-26,11.13
ANIK,22-Apr-26,15.55
ANIP,22-Apr-26,80.14
ANIX,22-Apr-26,3.14
ANL,22-Apr-26,16.13
ANNA,22-Apr-26,4.26
ANNAW,22-Apr-26,0.43
ANNX,22-Apr-26,6.26
ANPA,22-Apr-26,8.29
ANSCW,22-Apr-26,0.1801
ANTA,22-Apr-26,9.38
ANTX,22-Apr-26,4
ANV,22-Apr-26,25.235
ANY,22-Apr-26,1.43
AOHY,22-Apr-26,11.1051
AOSL,22-Apr-26,40.68
AOTG,22-Apr-26,55.822
AOUT,22-Apr-26,9.27
APA,22-Apr-26,38.06
APAD,22-Apr-26,10.28
APADR,22-Apr-26,0.7
APC,22-Apr-26,17.9
APEI,22-Apr-26,60.28
APGE,22-Apr-26,90.68
API,22-Apr-26,3.73
APLD,22-Apr-26,32.43
APLM,22-Apr-26,13.49
APLMW,22-Apr-26,0.0145
APLS,22-Apr-26,40.89
APM,22-Apr-26,0.8999
APOG,22-Apr-26,35.47
APP,22-Apr-26,483.71
APPF,22-Apr-26,158.41
APPN,22-Apr-26,21.86
APPS,22-Apr-26,3.71
APPX,22-Apr-26,39.2029
APRE,22-Apr-26,0.9499
APVO,22-Apr-26,5.13
APWC,22-Apr-26,1.385
APXT,22-Apr-26,10
APYX,22-Apr-26,3.83
AQB,22-Apr-26,0.9699
AQMS,22-Apr-26,4.67
AQST,22-Apr-26,4.15
AQWA,22-Apr-26,19.55
ARAI,22-Apr-26,0.8601
ARAY,22-Apr-26,0.4674
ARBB,22-Apr-26,4.99
ARBE,22-Apr-26,0.7801
ARBEW,22-Apr-26,0.0504
ARBK,22-Apr-26,3.45
ARCB,22-Apr-26,118.45
ARCC,22-Apr-26,19.1
ARCI,22-Apr-26,9.89
ARCIU,22-Apr-26,10
ARCT,22-Apr-26,8.62
ARDX,22-Apr-26,6.02
AREC,22-Apr-26,2.4
ARGX,22-Apr-26,793.22
ARHS,22-Apr-26,7.8
ARKO,22-Apr-26,6.5
ARKR,22-Apr-26,6.95
ARLP,22-Apr-26,24.7
ARM,22-Apr-26,196.57
ARMG,22-Apr-26,15.95
ARMY,22-Apr-26,25.8387
AROW,22-Apr-26,36.31
ARQ,22-Apr-26,2.23
ARQQ,22-Apr-26,15.76
ARQQW,22-Apr-26,0.1305
ARQT,22-Apr-26,23.75
ARRY,22-Apr-26,8.08
ARTC,22-Apr-26,9.85
ARTL,22-Apr-26,4
ARTNA,22-Apr-26,31.85
ARTV,22-Apr-26,11.73
ARTW,22-Apr-26,2.9
ARVN,22-Apr-26,10.63
ARVR,22-Apr-26,50.3312
ARWR,22-Apr-26,73.92
ARXS,22-Apr-26,36.26
ASBP,22-Apr-26,0.2224
ASBPW,22-Apr-26,0.0165
ASCI,22-Apr-26,36.875
ASLE,22-Apr-26,6.85
ASMB,22-Apr-26,28.3
ASMG,22-Apr-26,37.3
ASML,22-Apr-26,1443.66
ASMU,22-Apr-26,24.4
ASND,22-Apr-26,231.05
ASO,22-Apr-26,58.24
ASPC,22-Apr-26,11.5691
ASPCR,22-Apr-26,0.1829
ASPI,22-Apr-26,5.61
ASPS,22-Apr-26,6.52
ASPSW,22-Apr-26,0.4005
ASPSZ,22-Apr-26,0.2206
ASRT,22-Apr-26,18.03
ASRV,22-Apr-26,3.96
ASST,22-Apr-26,16.66
ASTC,22-Apr-26,3.43
ASTE,22-Apr-26,57.96
ASTH,22-Apr-26,33.7
ASTI,22-Apr-26,4.97
ASTL,22-Apr-26,4.73
ASTLW,22-Apr-26,0.0589
ASTS,22-Apr-26,84.66
ASUR,22-Apr-26,9.33
ASYS,22-Apr-26,18
ATAI,22-Apr-26,4.71
ATAT,22-Apr-26,40.41
ATCX,22-Apr-26,5.17
ATEC,22-Apr-26,10.62
ATER,22-Apr-26,0.718
ATEX,22-Apr-26,44.75
ATGL,22-Apr-26,14.01
ATHE,22-Apr-26,4.54
ATHR,22-Apr-26,3.5
ATII,22-Apr-26,10.67
ATIIW,22-Apr-26,1.2
ATLC,22-Apr-26,74.97
ATLCL,22-Apr-26,25
ATLCP,22-Apr-26,23.25
ATLCZ,22-Apr-26,25.255
ATLN,22-Apr-26,1.99
ATLO,22-Apr-26,28.21
ATLX,22-Apr-26,4.6
ATNI,22-Apr-26,28.595
ATOM,22-Apr-26,6.34
ATOS,22-Apr-26,5.95
ATPC,22-Apr-26,2.27
ATRA,22-Apr-26,5.18
ATRC,22-Apr-26,27.63
ATRO,22-Apr-26,72.67
ATXG,22-Apr-26,5.76
ATYR,22-Apr-26,0.8443
AUBN,22-Apr-26,24.38
AUDC,22-Apr-26,9.43
AUGO,22-Apr-26,97.92
AUID,22-Apr-26,1.37
AUMI,22-Apr-26,100.2248
AUPH,22-Apr-26,16.42
AUR,22-Apr-26,5.17
AURA,22-Apr-26,7.49
AURE,22-Apr-26,2.46
AUROW,22-Apr-26,0.17
AUTL,22-Apr-26,1.6
AUUD,22-Apr-26,3.87
AVAH,22-Apr-26,6.47
AVAV,22-Apr-26,210.1
AVBH,22-Apr-26,30.31
AVBP,22-Apr-26,30.895
AVGB,22-Apr-26,51.115
AVGG,22-Apr-26,37.12
AVGO,22-Apr-26,422.65
AVGU,22-Apr-26,47.7254
AVGX,22-Apr-26,63.91
AVIR,22-Apr-26,5.61
AVL,22-Apr-26,60.24
AVNW,22-Apr-26,22.59
AVO,22-Apr-26,13.66
AVOS,22-Apr-26,26.3769
AVPT,22-Apr-26,10.24
AVR,22-Apr-26,5.69
AVS,22-Apr-26,7.415
AVT,22-Apr-26,75.63
AVTX,22-Apr-26,14.5
AVUQ,22-Apr-26,63.8284
AVX,22-Apr-26,0.5526
AVXC,22-Apr-26,76.9016
AVXL,22-Apr-26,3.61
AVXX,22-Apr-26,13.35
AWRE,22-Apr-26,1.37
AXG,22-Apr-26,3.9
AXGN,22-Apr-26,37
AXIN,22-Apr-26,10.17
AXON,22-Apr-26,403.15
AXPG,22-Apr-26,13.3785
AXSM,22-Apr-26,186.42
AXTI,22-Apr-26,86.94
AYTU,22-Apr-26,2.57
AZ,22-Apr-26,7.72
AZI,22-Apr-26,1.43
AZTA,22-Apr-26,26.46
AZYY,22-Apr-26,16.75
BABU,22-Apr-26,15.8201
BABX,22-Apr-26,28.83
BACC,22-Apr-26,10.26
BACCR,22-Apr-26,0.3
BACCU,22-Apr-26,10.55
BAER,22-Apr-26,2.13
BAERW,22-Apr-26,0.41
BAFE,22-Apr-26,27.8484
BAFN,22-Apr-26,8.48
BAIG,22-Apr-26,3.6
BAIV,22-Apr-26,24.7191
BALQ,22-Apr-26,51.873
BAND,22-Apr-26,23.51
BANF,22-Apr-26,113.94
BANL,22-Apr-26,0.454
BANR,22-Apr-26,63.59
BANX,22-Apr-26,19.78
BAOS,22-Apr-26,2.58
BASG,22-Apr-26,25.3275
BASV,22-Apr-26,28.6149
BATRA,22-Apr-26,53.84
BATRK,22-Apr-26,48.77
BAYA,22-Apr-26,11.95
BAYAR,22-Apr-26,0.1501
BBB,22-Apr-26,29.7195
BBCP,22-Apr-26,7.62
BBCQ,22-Apr-26,10.23
BBCQU,22-Apr-26,10.71
BBCQW,22-Apr-26,1.17
BBGI,22-Apr-26,19.73
BBH,22-Apr-26,190.7813
BBIO,22-Apr-26,74.44
BBLG,22-Apr-26,1.405
BBNX,22-Apr-26,12.2
BBOT,22-Apr-26,8.87
BBSI,22-Apr-26,30.3
BBYY,22-Apr-26,13.275
BCAB,22-Apr-26,5.84
BCAL,22-Apr-26,18.5
BCAR,22-Apr-26,10.28
BCARU,22-Apr-26,10.7
BCARW,22-Apr-26,0.9175
BCAX,22-Apr-26,23.63
BCBP,22-Apr-26,9.86
BCDA,22-Apr-26,1.2
BCFN,22-Apr-26,22.0821
BCG,22-Apr-26,1.96
BCIC,22-Apr-26,7.93
BCLO,22-Apr-26,49.44
BCML,22-Apr-26,28.79
BCPC,22-Apr-26,175.17
BCRX,22-Apr-26,9.01
BCTK,22-Apr-26,27.3659
BCTX,22-Apr-26,3.91
BCTXL,22-Apr-26,0.9901
BCTXZ,22-Apr-26,0.125
BCYC,22-Apr-26,4.99
BDCI,22-Apr-26,10.01
BDCIU,22-Apr-26,10.14
BDCIW,22-Apr-26,0.46
BDGS,22-Apr-26,36.185
BDMD,22-Apr-26,1.72
BDMDW,22-Apr-26,0.0754
BDRX,22-Apr-26,3.89
BDSX,22-Apr-26,11.58
BDTX,22-Apr-26,3.35
BDVL,22-Apr-26,25.74
BDYN,22-Apr-26,26.2564
BEAG,22-Apr-26,10.54
BEAM,22-Apr-26,31.69
BEAT,22-Apr-26,0.9342
BEDY,22-Apr-26,27.8519
BEEM,22-Apr-26,1.97
BEEP,22-Apr-26,2.01
BEEX,22-Apr-26,26.0896
BEEZ,22-Apr-26,33.4084
BEG,22-Apr-26,63.7538
BELFA,22-Apr-26,241.57
BELFB,22-Apr-26,262.68
BELT,22-Apr-26,37.1046
BENF,22-Apr-26,3.19
BENFW,22-Apr-26,0.0102
BESO,22-Apr-26,26.0422
BETR,22-Apr-26,45.89
BETRW,22-Apr-26,0.2751
BFC,22-Apr-26,138.99
BFRG,22-Apr-26,0.8741
BFRGW,22-Apr-26,0.24
BFRI,22-Apr-26,1.06
BFRIW,22-Apr-26,0.0398
BFST,22-Apr-26,28.21
BGC,22-Apr-26,11.38
BGIN,22-Apr-26,3.55
BGL,22-Apr-26,1.08
BGLC,22-Apr-26,2.26
BGLWW,22-Apr-26,0.26
BGM,22-Apr-26,0.35
BGMS,22-Apr-26,1.18
BGRN,22-Apr-26,47.7322
BGRO,22-Apr-26,39.7899
BHAV,22-Apr-26,9.87
BHAVR,22-Apr-26,0.21
BHAVU,22-Apr-26,10.06
BHDG,22-Apr-26,23.24
BHF,22-Apr-26,62.08
BHFAL,22-Apr-26,17
BHFAM,22-Apr-26,11.7
BHFAN,22-Apr-26,13.04
BHFAO,22-Apr-26,16.68
BHFAP,22-Apr-26,16.1
BHRB,22-Apr-26,64.41
BHST,22-Apr-26,4.4
BIAF,22-Apr-26,2.51
BIB,22-Apr-26,87.0286
BIDG,22-Apr-26,14.2617
BIDU,22-Apr-26,123.29
BIIB,22-Apr-26,190.07
BILI,22-Apr-26,22.77
BIOA,22-Apr-26,18.36
BIOX,22-Apr-26,0.6382
BIRD,22-Apr-26,8.43
BIS,22-Apr-26,8.2038
BITS,22-Apr-26,65.7074
BIVI,22-Apr-26,1.56
BIVIW,22-Apr-26,0.295
BIXI,22-Apr-26,9.955
BIXIU,22-Apr-26,10.03
BIYA,22-Apr-26,1.19
BJDX,22-Apr-26,2
BJRI,22-Apr-26,38.74
BKCH,22-Apr-26,76.79
BKMI,22-Apr-26,26.39
BKMS,22-Apr-26,25.565
BKNG,22-Apr-26,179.4
BKR,22-Apr-26,62.54
BKYI,22-Apr-26,0.6293
BL,22-Apr-26,31.73
BLBD,22-Apr-26,62.35
BLCN,22-Apr-26,24.22
BLCR,22-Apr-26,45.99
BLDP,22-Apr-26,3.5
BLFS,22-Apr-26,22.8
BLIN,22-Apr-26,0.9422
BLKB,22-Apr-26,39.25
BLLN,22-Apr-26,86.84
BLMN,22-Apr-26,6.6
BLNE,22-Apr-26,2.14
BLNK,22-Apr-26,0.8277
BLRK,22-Apr-26,9.92
BLRKW,22-Apr-26,0.35
BLRX,22-Apr-26,2.24
BLSG,22-Apr-26,6.9198
BLTE,22-Apr-26,167.42
BLUW,22-Apr-26,10.265
BLUWU,22-Apr-26,10.5
BLZE,22-Apr-26,4.18
BLZR,22-Apr-26,10.08
BLZRW,22-Apr-26,0.38
BMBL,22-Apr-26,4.42
BMEA,22-Apr-26,1.85
BMGL,22-Apr-26,0.62
BMHL,22-Apr-26,3.4
BMM,22-Apr-26,7.97
BMNG,22-Apr-26,1.64
BMOP,22-Apr-26,24.915
BMR,22-Apr-26,2.15
BMRA,22-Apr-26,2.18
BMRC,22-Apr-26,25.79
BMRN,22-Apr-26,54.15
BNAI,22-Apr-26,33.67
BNAIW,22-Apr-26,0.2302
BNBX,22-Apr-26,0.52
BNC,22-Apr-26,3.04
BNCWW,22-Apr-26,0.0256
BND,22-Apr-26,73.86
BNDP,22-Apr-26,74.725
BNDW,22-Apr-26,68.5457
BNDX,22-Apr-26,48.18
BNGO,22-Apr-26,1.25
BNKK,22-Apr-26,2.93
BNR,22-Apr-26,20.86
BNRG,22-Apr-26,4.15
BNTC,22-Apr-26,12.96
BNTX,22-Apr-26,108.6
BNZI,22-Apr-26,0.556
BNZIW,22-Apr-26,0.0176
BODI,22-Apr-26,14.41
BOEG,22-Apr-26,16.0261
BOEU,22-Apr-26,40.76
BOF,22-Apr-26,4.14
BOKF,22-Apr-26,135.04
BOLD,22-Apr-26,1.55
BOLT,22-Apr-26,5.39
BON,22-Apr-26,1.3187
BOOM,22-Apr-26,5.69
BOSC,22-Apr-26,4.64
BOTJ,22-Apr-26,23.2
BOTT,22-Apr-26,51.7919
BOTZ,22-Apr-26,37.37
BOXL,22-Apr-26,1.16
BPACR,22-Apr-26,0.21
BPOP,22-Apr-26,148.3
BPOPM,22-Apr-26,25.51
BPRN,22-Apr-26,35.01
BPYPM,22-Apr-26,16.6
BPYPN,22-Apr-26,13.91
BPYPO,22-Apr-26,15.32
BPYPP,22-Apr-26,16.45
BRAG,22-Apr-26,2.03
BRAI,22-Apr-26,21.8
BRBI,22-Apr-26,15.91
BRCB,22-Apr-26,13.45
BREM,22-Apr-26,51.485
BRES,22-Apr-26,26.1694
BRFH,22-Apr-26,2.551
BRHY,22-Apr-26,51.0939
BRID,22-Apr-26,7.5
BRKR,22-Apr-26,39.67
BRKRP,22-Apr-26,308.707
BRKU,22-Apr-26,20.45
BRLS,22-Apr-26,0.895
BRLT,22-Apr-26,1.38
BRNS,22-Apr-26,0.6252
BRNY,22-Apr-26,53.8651
BRR,22-Apr-26,1.98
BRRR,22-Apr-26,22.2682
BRRWW,22-Apr-26,0.3
BRTR,22-Apr-26,50.5216
BRTX,22-Apr-26,0.228
BRZE,22-Apr-26,24.05
BSAAR,22-Apr-26,0.1305
BSBK,22-Apr-26,8.445
BSCQ,22-Apr-26,19.52
BSCR,22-Apr-26,19.63
BSCS,22-Apr-26,20.43
BSCT,22-Apr-26,18.68
BSCU,22-Apr-26,16.775
BSCV,22-Apr-26,16.53
BSCW,22-Apr-26,20.7
BSCX,22-Apr-26,21.265
BSCY,22-Apr-26,20.855
BSCZ,22-Apr-26,20.666
BSET,22-Apr-26,14.52
BSJQ,22-Apr-26,23.145
BSJR,22-Apr-26,22.4453
BSJS,22-Apr-26,21.82
BSJT,22-Apr-26,21.245
BSJU,22-Apr-26,25.885
BSJV,22-Apr-26,26.365
BSJW,22-Apr-26,25.46
BSJX,22-Apr-26,25.32
BSMQ,22-Apr-26,23.56
BSMR,22-Apr-26,23.605
BSMS,22-Apr-26,23.43
BSMT,22-Apr-26,23.09
BSMU,22-Apr-26,21.9502
BSMV,22-Apr-26,21.035
BSMW,22-Apr-26,25.13
BSMY,22-Apr-26,24.5844
BSMZ,22-Apr-26,25.5025
BSRR,22-Apr-26,35.8
BSSX,22-Apr-26,25.75
BSVN,22-Apr-26,43.37
BSVO,22-Apr-26,27.2387
BSY,22-Apr-26,35.22
BTAI,22-Apr-26,1.15
BTBD,22-Apr-26,1.95
BTBDW,22-Apr-26,0.24
BTBT,22-Apr-26,1.66
BTCS,22-Apr-26,1.94
BTCT,22-Apr-26,1.33
BTDR,22-Apr-26,12.58
BTF,22-Apr-26,22.0544
BTGD,22-Apr-26,31.95
BTM,22-Apr-26,7.6
BTMD,22-Apr-26,2.24
BTMWW,22-Apr-26,0.0337
BTOC,22-Apr-26,0.275
BTOG,22-Apr-26,2.13
BTQ,22-Apr-26,3.49
BTSG,22-Apr-26,47.17
BTSGU,22-Apr-26,156.64
BTTC,22-Apr-26,1.4
BU,22-Apr-26,20.1768
BUFC,22-Apr-26,41.69
BUFI,22-Apr-26,41.51
BUFM,22-Apr-26,39.3821
BUG,22-Apr-26,27.41
BULD,22-Apr-26,30.89
BULG,22-Apr-26,2.27
BULL,22-Apr-26,7.27
BULLW,22-Apr-26,2.59
BULX,22-Apr-26,5.21
BUSE,22-Apr-26,26.3
BUSEP,22-Apr-26,25.85
BUUU,22-Apr-26,14.165
BVC,22-Apr-26,10.61
BVFL,22-Apr-26,20.04
BVS,22-Apr-26,9.77
BWAY,22-Apr-26,15.85
BWB,22-Apr-26,18.41
BWBBP,22-Apr-26,20.335
BWEN,22-Apr-26,2.42
BWFG,22-Apr-26,49.43
BWIN,22-Apr-26,25.6
BWMN,22-Apr-26,30.9
BYAH,22-Apr-26,1.0704
BYND,22-Apr-26,1.1
BYRN,22-Apr-26,6.23
BYSI,22-Apr-26,1.63
BZ,22-Apr-26,13.65
BZAI,22-Apr-26,2.14
BZAIW,22-Apr-26,0.445
BZFD,22-Apr-26,0.7302
BZFDW,22-Apr-26,0.0214
BZUN,22-Apr-26,2.92
CA,22-Apr-26,25.065
CAAS,22-Apr-26,4.53
CABA,22-Apr-26,3.17
CABR,22-Apr-26,1.17
CAC,22-Apr-26,49.38
CACC,22-Apr-26,526.76
CADL,22-Apr-26,7.34
CAEP,22-Apr-26,10.34
CAFG,22-Apr-26,30.028
CAI,22-Apr-26,20.5
CAIQ,22-Apr-26,26.38
CAKE,22-Apr-26,63.27
CALC,22-Apr-26,0.606
CALI,22-Apr-26,50.495
CALM,22-Apr-26,76.96
CAMP,22-Apr-26,4.56
CAMT,22-Apr-26,185.88
CAN,22-Apr-26,0.55
CANC,22-Apr-26,39.28
CANQ,22-Apr-26,29.8037
CAPR,22-Apr-26,35
CAPS,22-Apr-26,0.4155
CAQ,22-Apr-26,9.9
CAR,22-Apr-26,443.94
CARE,22-Apr-26,24.37
CARG,22-Apr-26,38.13
CARL,22-Apr-26,10.62
CART,22-Apr-26,43.54
CARY,22-Apr-26,20.915
CARZ,22-Apr-26,97.0373
CASH,22-Apr-26,98.51
CASS,22-Apr-26,48.47
CAST,22-Apr-26,2.35
CASY,22-Apr-26,782.91
CATH,22-Apr-26,85.69
CATY,22-Apr-26,53.78
